"n","rep","tempo"
1000,1,0.23
1000,2,0.169999999999998
1000,3,0.52
1000,4,0.170000000000002
1000,5,0.199999999999999
1000,6,0.210000000000001
1000,7,0.16
1000,8,0.190000000000001
1000,9,0.140000000000001
1000,10,0.16
1000,11,0.18
1000,12,0.190000000000001
1000,13,0.169999999999998
1000,14,0.190000000000005
1000,15,0.160000000000004
1000,16,0.189999999999998
1000,17,0.18
1000,18,0.149999999999999
1000,19,0.18
1000,20,0.170000000000002
1000,21,0.170000000000002
1000,22,0.140000000000001
1000,23,0.170000000000002
1000,24,0.170000000000002
1000,25,0.170000000000002
1000,26,0.119999999999997
1000,27,0.189999999999998
1000,28,0.170000000000002
1000,29,0.140000000000001
1000,30,0.169999999999995
10000,1,18.81
10000,2,20.12
10000,3,18.75
10000,4,19
10000,5,18.76
10000,6,19.14
10000,7,14.62
10000,8,13.17
10000,9,13.48
10000,10,13.12
1e+05,1,1045.02
